,Subway Entrance,Subway Entrance Latitude,Subway Entrance Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Bronx Park East,40.849163776127924,-73.86845298749513,Park
1,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Park Billiards,40.85097033138885,-73.86779189606801,Pool Hall
2,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Morris Park Pizza,40.844961992094355,-73.867605559151,Pizza Place
3,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,New Morris Deli,40.84652921587026,-73.86387374550078,Deli / Bodega
4,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Cafe Colonial,40.85249479589834,-73.86765418322204,Spanish Restaurant
5,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Anthony's Pizza,40.84526932730098,-73.86609972700784,Pizza Place
6,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Dunkin Donuts,40.84534574587194,-73.86594183933315,Donut Shop
7,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Istanbul Cafe,40.84753966208403,-73.8674130797059,Hookah Bar
8,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Staples,40.8520502,-73.8674958,Paper / Office Supplies Store
9,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,wallace avenue,40.84851836136707,-73.86416326910829,Moving Target
10,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,The Grill House,40.849630870131705,-73.86407138656517,Middle Eastern Restaurant
11,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Frank's Place Deli- Grocery,40.84958372416539,-73.86395819228596,Deli / Bodega
12,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,New Wallace Grocery,40.85221704046008,-73.8650040880691,Deli / Bodega
13,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Brady Courtyard,40.85222246761083,-73.86498668386571,Garden
14,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,FLATLINE SKATESHOP,40.84546462336427,-73.86609853518799,Board Shop
15,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Best Way Mini Market,40.84516330515872,-73.86660543298116,Deli / Bodega
16,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,Golden Eagle II,40.84517550929076,-73.86641555260377,Diner
17,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,3D Deli Grocery,40.84652668925989,-73.86390534155443,Deli / Bodega
18,Birchall Ave & Sagamore St at NW corner,40.84916900104506,-73.86835600032798,E & J Liquor Inc.,40.84528755284558,-73.86563912656847,Liquor Store
19,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Bronx Park East,40.849163776127924,-73.86845298749513,Park
20,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Park Billiards,40.85097033138885,-73.86779189606801,Pool Hall
21,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Morris Park Pizza,40.844961992094355,-73.867605559151,Pizza Place
22,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,New Morris Deli,40.84652921587026,-73.86387374550078,Deli / Bodega
23,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Cafe Colonial,40.85249479589834,-73.86765418322204,Spanish Restaurant
24,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Anthony's Pizza,40.84526932730098,-73.86609972700784,Pizza Place
25,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Dunkin Donuts,40.84534574587194,-73.86594183933315,Donut Shop
26,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Istanbul Cafe,40.84753966208403,-73.8674130797059,Hookah Bar
27,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Staples,40.8520502,-73.8674958,Paper / Office Supplies Store
28,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,wallace avenue,40.84851836136707,-73.86416326910829,Moving Target
29,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,The Grill House,40.849630870131705,-73.86407138656517,Middle Eastern Restaurant
30,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Frank's Place Deli- Grocery,40.84958372416539,-73.86395819228596,Deli / Bodega
31,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,New Wallace Grocery,40.85221704046008,-73.8650040880691,Deli / Bodega
32,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Brady Courtyard,40.85222246761083,-73.86498668386571,Garden
33,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,FLATLINE SKATESHOP,40.84546462336427,-73.86609853518799,Board Shop
34,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Best Way Mini Market,40.84516330515872,-73.86660543298116,Deli / Bodega
35,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,3D Deli Grocery,40.84652668925989,-73.86390534155443,Deli / Bodega
36,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,Golden Eagle II,40.84517550929076,-73.86641555260377,Diner
37,Birchall Ave & Sagamore St at NE corner,40.84912800131844,-73.86821300022677,E & J Liquor Inc.,40.84528755284558,-73.86563912656847,Liquor Store
38,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,River Park,40.84306197093502,-73.87752023628035,Park
39,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Jimbo's Hamburger Palace,40.839217439995124,-73.87803216408489,Diner
40,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Wild Asia Monorail,40.84528529800098,-73.87578803131166,Zoo
41,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Dunkin Donuts,40.84010119902915,-73.87664166750253,Donut Shop
42,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Clean Jeans Dry Cleaners,40.840219,-73.870809,Dry Cleaner
43,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,MTA New York City Bus - Bx9/Bx36/Q44 +SBS+ @ Boston Road and E. 180th Street,40.84224319458008,-73.87834167480469,Bus Stop
44,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Q44 Bus Stop,40.840008791744985,-73.87850790366784,Bus Station
45,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Bronx River Art Center,40.840601214950766,-73.87895005547816,Art Gallery
46,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Asia Gate,40.84444358939004,-73.87733074138687,Zoo
47,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,MTA Regional Bus Depot - West Farms,40.83845935727748,-73.87797961707979,Bus Station
48,Morris Park Ave & 180th St at NW corner,40.84122300105249,-73.87349900050798,Pioneer Supermarket,40.84079810986241,-73.87939745627696,Supermarket
49,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Jimbo's Hamburger Palace,40.839217439995124,-73.87803216408489,Diner
50,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,River Park,40.84306197093502,-73.87752023628035,Park
51,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Stop & Shop,40.838213418233,-73.88385996222496,Supermarket
52,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Tropicana Theatere & Lounge,40.83740441148761,-73.87792219453874,Lounge
53,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Subway Restaurant,40.84089660644531,-73.87959289550781,Sandwich Place
54,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Domino's Pizza,40.84194916148795,-73.8836145401001,Pizza Place
55,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,GameStop,40.837857738527404,-73.88403185848986,Video Game Store
56,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Liqour & Wine Warehouse,40.83764695176369,-73.88359906312165,Liquor Store
57,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Family Dollar,40.841417,-73.883174,Discount Store
58,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Dunkin Donuts,40.84010119902915,-73.87664166750253,Donut Shop
59,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Chase Bank,40.837821697277214,-73.88288762698363,Bank
60,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Dippin Dots,40.84159269746876,-73.87954150374226,Ice Cream Shop
61,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,West Farm Convience,40.84053208934495,-73.87943240176959,Convenience Store
62,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,MTA Subway - West Farms Square/E Tremont Av (2/5),40.84024540098636,-73.88002384857748,Metro Station
63,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Pioneer Supermarket,40.84079810986241,-73.87939745627696,Supermarket
64,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Q44 Bus Stop,40.840008791744985,-73.87850790366784,Bus Station
65,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,MTA Bus - E Tremont Av & Boston Rd (Bx21/Bx40/Bx42),40.84025481190395,-73.8797092437744,Bus Stop
66,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,M.A.C. @ Grand Central Terminal,40.84008417671589,-73.88046599696642,Cosmetics Shop
67,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,MTA New York City Bus - Bx9/Bx36/Q44 +SBS+ @ Boston Road and E. 180th Street,40.84224319458008,-73.87834167480469,Bus Stop
68,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Bronx River Art Center,40.840601214950766,-73.87895005547816,Art Gallery
69,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,H and R Wines and Liquors,40.840129,-73.87646,Liquor Store
70,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,MTA Regional Bus Depot - West Farms,40.83845935727748,-73.87797961707979,Bus Station
71,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Family Department Store,40.841618300920736,-73.88334855030676,Department Store
72,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Alitalia Pizzeria Restaurant,40.840023326199095,-73.87585497185644,Pizza Place
73,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,"MTA MaBSTOA Bus at East 180th St & Devoe Ave: (Bx9, Q44 Last Stop)",40.84207699688499,-73.87606143951416,Bus Station
74,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Vyse City,40.84404386196277,-73.88079874091243,Clothing Store
75,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Prospect Coffee Shop,40.83757698149015,-73.88083923833605,Coffee Shop
76,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Showtime Basketball Courts,40.83702558134896,-73.87958744139678,Basketball Court
77,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Vidalia Park,40.84434023892913,-73.88150645421123,Park
78,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Asia Gate,40.84444358939004,-73.87733074138687,Zoo
79,Boston Rd & 178th St at SW corner,40.84081500075867,-73.87962300013866,Nature Trek,40.84480986624829,-73.87814013902106,Zoo Exhibit
